===== AR (diffusion mu=on) STARTED Mon Jul 27 11:34:54 CEST 2026 =====
objective=diffusion mu=on params=2.209M steps=50000 diff_steps=3 norm=std
step  27500 | loss 0.1588 | aux 0.1562 | lr 8.83e-05 | 0.4 it/s
step  27600 | loss 0.1330 | aux 0.1305 | lr 8.77e-05 | 0.4 it/s
step  27700 | loss 0.1486 | aux 0.1461 | lr 8.71e-05 | 0.4 it/s
step  27800 | loss 0.1476 | aux 0.1451 | lr 8.65e-05 | 0.4 it/s
step  27900 | loss 0.1420 | aux 0.1395 | lr 8.58e-05 | 0.4 it/s
step  28000 | loss 0.1582 | aux 0.1556 | lr 8.52e-05 | 0.4 it/s
  [eval] step 28000 | EMA avg NMSE -9.28 dB (step1 -20.41, step10 -5.56)
step  28100 | loss 0.1587 | aux 0.1561 | lr 8.46e-05 | 0.4 it/s
step  28200 | loss 0.1568 | aux 0.1542 | lr 8.39e-05 | 0.4 it/s
step  28300 | loss 0.1591 | aux 0.1565 | lr 8.33e-05 | 0.4 it/s
step  28400 | loss 0.1512 | aux 0.1487 | lr 8.27e-05 | 0.4 it/s
step  28500 | loss 0.1434 | aux 0.1409 | lr 8.21e-05 | 0.4 it/s
step  28600 | loss 0.1455 | aux 0.1430 | lr 8.15e-05 | 0.4 it/s
step  28700 | loss 0.1573 | aux 0.1547 | lr 8.08e-05 | 0.4 it/s
step  28800 | loss 0.1586 | aux 0.1560 | lr 8.02e-05 | 0.4 it/s
step  28900 | loss 0.1588 | aux 0.1562 | lr 7.96e-05 | 0.4 it/s
step  29000 | loss 0.1385 | aux 0.1360 | lr 7.90e-05 | 0.4 it/s
step  29100 | loss 0.1594 | aux 0.1568 | lr 7.84e-05 | 0.4 it/s
step  29200 | loss 0.1478 | aux 0.1452 | lr 7.77e-05 | 0.4 it/s
step  29300 | loss 0.1559 | aux 0.1533 | lr 7.71e-05 | 0.4 it/s
step  29400 | loss 0.1717 | aux 0.1690 | lr 7.65e-05 | 0.4 it/s
