===== DIFFUSION TRAIN STARTED AT Thu Jul  2 17:25:11 CEST 2026 =====
device=cuda out_dir=runs/diu_6793522 steps=80000 batch=512 lr=0.001
building fixed validation set ...
step      0 | huber 0.0078 | lr 1.00e-06 | 0.3 it/s
step  21300 | huber 0.0011 | lr 8.47e-04 | 0.8 it/s
step  21400 | huber 0.0011 | lr 8.46e-04 | 0.8 it/s
step  21500 | huber 0.0011 | lr 8.44e-04 | 0.8 it/s
step  21600 | huber 0.0011 | lr 8.43e-04 | 0.8 it/s
step  21700 | huber 0.0011 | lr 8.42e-04 | 0.8 it/s
step  21800 | huber 0.0011 | lr 8.40e-04 | 0.8 it/s
step  21900 | huber 0.0011 | lr 8.39e-04 | 0.8 it/s
step  22000 | huber 0.0010 | lr 8.37e-04 | 0.8 it/s
  [eval] step 22000 | EMA avg NMSE -8.11 dB (step1 -20.09, step10 -4.11)
step  22100 | huber 0.0011 | lr 8.36e-04 | 0.8 it/s
step  22200 | huber 0.0011 | lr 8.34e-04 | 0.8 it/s
step  22300 | huber 0.0011 | lr 8.33e-04 | 0.8 it/s
step  22400 | huber 0.0010 | lr 8.31e-04 | 0.8 it/s
step  22500 | huber 0.0011 | lr 8.30e-04 | 0.8 it/s
step  22600 | huber 0.0011 | lr 8.28e-04 | 0.8 it/s
step  22700 | huber 0.0011 | lr 8.27e-04 | 0.8 it/s
step  22800 | huber 0.0010 | lr 8.25e-04 | 0.8 it/s
step  22900 | huber 0.0011 | lr 8.24e-04 | 0.8 it/s
step  23000 | huber 0.0011 | lr 8.22e-04 | 0.8 it/s
step  23100 | huber 0.0011 | lr 8.21e-04 | 0.8 it/s
step  23200 | huber 0.0011 | lr 8.19e-04 | 0.8 it/s
step  23300 | huber 0.0011 | lr 8.18e-04 | 0.8 it/s
step  23400 | huber 0.0011 | lr 8.16e-04 | 0.8 it/s
step  23500 | huber 0.0011 | lr 8.15e-04 | 0.8 it/s
step  23600 | huber 0.0010 | lr 8.13e-04 | 0.8 it/s
step  23700 | huber 0.0011 | lr 8.12e-04 | 0.8 it/s
step  23800 | huber 0.0011 | lr 8.10e-04 | 0.8 it/s
step  23900 | huber 0.0010 | lr 8.09e-04 | 0.8 it/s
step  24000 | huber 0.0011 | lr 8.07e-04 | 0.8 it/s
  [eval] step 24000 | EMA avg NMSE -8.33 dB (step1 -20.25, step10 -4.33)
step  24100 | huber 0.0010 | lr 8.05e-04 | 0.8 it/s
step  24200 | huber 0.0011 | lr 8.04e-04 | 0.8 it/s
step  24300 | huber 0.0011 | lr 8.02e-04 | 0.8 it/s
step  24400 | huber 0.0011 | lr 8.01e-04 | 0.8 it/s
step  24500 | huber 0.0011 | lr 7.99e-04 | 0.8 it/s
step  24600 | huber 0.0011 | lr 7.98e-04 | 0.8 it/s
step  24700 | huber 0.0010 | lr 7.96e-04 | 0.8 it/s
step  24800 | huber 0.0010 | lr 7.94e-04 | 0.8 it/s
step  24900 | huber 0.0011 | lr 7.93e-04 | 0.8 it/s
step  25000 | huber 0.0010 | lr 7.91e-04 | 0.8 it/s
step  25100 | huber 0.0010 | lr 7.90e-04 | 0.8 it/s
step  25200 | huber 0.0010 | lr 7.88e-04 | 0.8 it/s
step  25300 | huber 0.0010 | lr 7.86e-04 | 0.8 it/s
step  25400 | huber 0.0011 | lr 7.85e-04 | 0.8 it/s
step  25500 | huber 0.0010 | lr 7.83e-04 | 0.8 it/s
step  25600 | huber 0.0011 | lr 7.81e-04 | 0.8 it/s
step  25700 | huber 0.0010 | lr 7.80e-04 | 0.8 it/s
step  25800 | huber 0.0010 | lr 7.78e-04 | 0.8 it/s
step  25900 | huber 0.0011 | lr 7.77e-04 | 0.8 it/s
step  26000 | huber 0.0011 | lr 7.75e-04 | 0.8 it/s
  [eval] step 26000 | EMA avg NMSE -8.51 dB (step1 -20.45, step10 -4.49)
step  26100 | huber 0.0011 | lr 7.73e-04 | 0.8 it/s
step  26200 | huber 0.0011 | lr 7.72e-04 | 0.8 it/s
step  26300 | huber 0.0010 | lr 7.70e-04 | 0.8 it/s
step  26400 | huber 0.0011 | lr 7.68e-04 | 0.8 it/s
step  26500 | huber 0.0010 | lr 7.67e-04 | 0.8 it/s
step  26600 | huber 0.0011 | lr 7.65e-04 | 0.8 it/s
step  26700 | huber 0.0010 | lr 7.63e-04 | 0.8 it/s
step  26800 | huber 0.0010 | lr 7.62e-04 | 0.8 it/s
step  26900 | huber 0.0011 | lr 7.60e-04 | 0.8 it/s
step  27000 | huber 0.0011 | lr 7.58e-04 | 0.8 it/s
step  27100 | huber 0.0011 | lr 7.56e-04 | 0.8 it/s
step  27200 | huber 0.0011 | lr 7.55e-04 | 0.8 it/s
step  27300 | huber 0.0011 | lr 7.53e-04 | 0.8 it/s
step  27400 | huber 0.0010 | lr 7.51e-04 | 0.8 it/s
step  27500 | huber 0.0010 | lr 7.50e-04 | 0.8 it/s
step  27600 | huber 0.0010 | lr 7.48e-04 | 0.8 it/s
step  27700 | huber 0.0011 | lr 7.46e-04 | 0.8 it/s
step  27800 | huber 0.0011 | lr 7.45e-04 | 0.8 it/s
step  27900 | huber 0.0010 | lr 7.43e-04 | 0.8 it/s
step  28000 | huber 0.0011 | lr 7.41e-04 | 0.8 it/s
  [eval] step 28000 | EMA avg NMSE -8.66 dB (step1 -20.48, step10 -4.65)
step  28100 | huber 0.0011 | lr 7.39e-04 | 0.8 it/s
step  28200 | huber 0.0011 | lr 7.38e-04 | 0.8 it/s
step  28300 | huber 0.0011 | lr 7.36e-04 | 0.8 it/s
step  28400 | huber 0.0011 | lr 7.34e-04 | 0.8 it/s
step  28500 | huber 0.0010 | lr 7.32e-04 | 0.8 it/s
step  28600 | huber 0.0010 | lr 7.31e-04 | 0.8 it/s
step  28700 | huber 0.0011 | lr 7.29e-04 | 0.8 it/s
step  28800 | huber 0.0011 | lr 7.27e-04 | 0.8 it/s
step  28900 | huber 0.0010 | lr 7.25e-04 | 0.8 it/s
step  29000 | huber 0.0010 | lr 7.24e-04 | 0.8 it/s
step  29100 | huber 0.0011 | lr 7.22e-04 | 0.8 it/s
step  29200 | huber 0.0011 | lr 7.20e-04 | 0.8 it/s
step  29300 | huber 0.0010 | lr 7.18e-04 | 0.8 it/s
step  29400 | huber 0.0011 | lr 7.16e-04 | 0.8 it/s
step  29500 | huber 0.0011 | lr 7.15e-04 | 0.8 it/s
step  29600 | huber 0.0010 | lr 7.13e-04 | 0.8 it/s
step  29700 | huber 0.0010 | lr 7.11e-04 | 0.8 it/s
step  29800 | huber 0.0011 | lr 7.09e-04 | 0.8 it/s
step  29900 | huber 0.0010 | lr 7.08e-04 | 0.8 it/s
step  30000 | huber 0.0010 | lr 7.06e-04 | 0.8 it/s
  [eval] step 30000 | EMA avg NMSE -8.81 dB (step1 -20.63, step10 -4.83)
step  30100 | huber 0.0010 | lr 7.04e-04 | 0.8 it/s
step  30200 | huber 0.0010 | lr 7.02e-04 | 0.8 it/s
step  30300 | huber 0.0011 | lr 7.00e-04 | 0.8 it/s
step  30400 | huber 0.0010 | lr 6.99e-04 | 0.8 it/s
step  30500 | huber 0.0010 | lr 6.97e-04 | 0.8 it/s
step  30600 | huber 0.0010 | lr 6.95e-04 | 0.8 it/s
step  30700 | huber 0.0010 | lr 6.93e-04 | 0.8 it/s
step  30800 | huber 0.0010 | lr 6.91e-04 | 0.8 it/s
step  30900 | huber 0.0010 | lr 6.89e-04 | 0.8 it/s
step  31000 | huber 0.0010 | lr 6.88e-04 | 0.8 it/s
step  31100 | huber 0.0010 | lr 6.86e-04 | 0.8 it/s
step  31200 | huber 0.0010 | lr 6.84e-04 | 0.8 it/s
step  31300 | huber 0.0010 | lr 6.82e-04 | 0.8 it/s
step  31400 | huber 0.0010 | lr 6.80e-04 | 0.8 it/s
step  31500 | huber 0.0011 | lr 6.78e-04 | 0.8 it/s
step  31600 | huber 0.0010 | lr 6.77e-04 | 0.8 it/s
step  31700 | huber 0.0010 | lr 6.75e-04 | 0.8 it/s
step  31800 | huber 0.0010 | lr 6.73e-04 | 0.8 it/s
step  31900 | huber 0.0010 | lr 6.71e-04 | 0.8 it/s
step  32000 | huber 0.0011 | lr 6.69e-04 | 0.8 it/s
  [eval] step 32000 | EMA avg NMSE -8.98 dB (step1 -20.63, step10 -5.02)
step  32100 | huber 0.0011 | lr 6.67e-04 | 0.8 it/s
step  32200 | huber 0.0010 | lr 6.65e-04 | 0.8 it/s
step  32300 | huber 0.0010 | lr 6.64e-04 | 0.8 it/s
step  32400 | huber 0.0010 | lr 6.62e-04 | 0.8 it/s
step  32500 | huber 0.0010 | lr 6.60e-04 | 0.8 it/s
step  32600 | huber 0.0011 | lr 6.58e-04 | 0.8 it/s
step  32700 | huber 0.0010 | lr 6.56e-04 | 0.8 it/s
step  32800 | huber 0.0010 | lr 6.54e-04 | 0.8 it/s
step  32900 | huber 0.0010 | lr 6.52e-04 | 0.8 it/s
step  33000 | huber 0.0010 | lr 6.50e-04 | 0.8 it/s
step  33100 | huber 0.0010 | lr 6.49e-04 | 0.8 it/s
step  33200 | huber 0.0010 | lr 6.47e-04 | 0.8 it/s
step  33300 | huber 0.0010 | lr 6.45e-04 | 0.8 it/s
step  33400 | huber 0.0010 | lr 6.43e-04 | 0.8 it/s
step  33500 | huber 0.0010 | lr 6.41e-04 | 0.8 it/s
step  33600 | huber 0.0010 | lr 6.39e-04 | 0.8 it/s
step  33700 | huber 0.0010 | lr 6.37e-04 | 0.8 it/s
step  33800 | huber 0.0010 | lr 6.35e-04 | 0.8 it/s
step  33900 | huber 0.0010 | lr 6.33e-04 | 0.8 it/s
step  34000 | huber 0.0010 | lr 6.32e-04 | 0.8 it/s
  [eval] step 34000 | EMA avg NMSE -9.11 dB (step1 -20.74, step10 -5.16)
step  34100 | huber 0.0010 | lr 6.30e-04 | 0.8 it/s
step  34200 | huber 0.0010 | lr 6.28e-04 | 0.8 it/s
step  34300 | huber 0.0010 | lr 6.26e-04 | 0.8 it/s
step  34400 | huber 0.0010 | lr 6.24e-04 | 0.8 it/s
step  34500 | huber 0.0010 | lr 6.22e-04 | 0.8 it/s
step  34600 | huber 0.0010 | lr 6.20e-04 | 0.8 it/s
step  34700 | huber 0.0010 | lr 6.18e-04 | 0.8 it/s
step  34800 | huber 0.0010 | lr 6.16e-04 | 0.8 it/s
step  34900 | huber 0.0010 | lr 6.14e-04 | 0.8 it/s
step  35000 | huber 0.0010 | lr 6.12e-04 | 0.8 it/s
step  35100 | huber 0.0010 | lr 6.10e-04 | 0.8 it/s
