===== REGRESSION TRAIN STARTED AT Sat Jul 25 20:46:05 CEST 2026 =====
device=cuda out_dir=runs/reg_6915230 steps=50000 batch=256 lr=0.0002 (JointRegressor, joint 10-frame)
building fixed validation set ...
step      0 | mse 1.1911 | lr 2.00e-07 | 0.4 it/s
step  22800 | mse 0.2077 | lr 1.18e-04 | 1.2 it/s
step  22900 | mse 0.2473 | lr 1.17e-04 | 1.2 it/s
step  23000 | mse 0.2304 | lr 1.17e-04 | 1.2 it/s
step  23100 | mse 0.2253 | lr 1.16e-04 | 1.2 it/s
step  23200 | mse 0.2337 | lr 1.16e-04 | 1.2 it/s
step  23300 | mse 0.2104 | lr 1.15e-04 | 1.2 it/s
step  23400 | mse 0.2238 | lr 1.14e-04 | 1.2 it/s
step  23500 | mse 0.2352 | lr 1.14e-04 | 1.2 it/s
step  23600 | mse 0.2107 | lr 1.13e-04 | 1.2 it/s
step  23700 | mse 0.2261 | lr 1.12e-04 | 1.2 it/s
step  23800 | mse 0.2181 | lr 1.12e-04 | 1.2 it/s
step  23900 | mse 0.2111 | lr 1.11e-04 | 1.2 it/s
step  24000 | mse 0.2529 | lr 1.11e-04 | 1.2 it/s
  [eval] step 24000 | EMA avg NMSE -11.65 dB (step1 -17.27, step10 -8.69) | raw -11.40 dB
step  24100 | mse 0.2113 | lr 1.10e-04 | 1.2 it/s
step  24200 | mse 0.2209 | lr 1.09e-04 | 1.2 it/s
step  24300 | mse 0.2032 | lr 1.09e-04 | 1.2 it/s
step  24400 | mse 0.2393 | lr 1.08e-04 | 1.2 it/s
step  24500 | mse 0.2260 | lr 1.07e-04 | 1.2 it/s
step  24600 | mse 0.2279 | lr 1.07e-04 | 1.2 it/s
step  24700 | mse 0.2243 | lr 1.06e-04 | 1.2 it/s
step  24800 | mse 0.2152 | lr 1.05e-04 | 1.2 it/s
step  24900 | mse 0.2346 | lr 1.05e-04 | 1.2 it/s
step  25000 | mse 0.2102 | lr 1.04e-04 | 1.2 it/s
step  25100 | mse 0.2340 | lr 1.04e-04 | 1.2 it/s
step  25200 | mse 0.2245 | lr 1.03e-04 | 1.2 it/s
step  25300 | mse 0.2109 | lr 1.02e-04 | 1.2 it/s
step  25400 | mse 0.2264 | lr 1.02e-04 | 1.2 it/s
step  25500 | mse 0.1958 | lr 1.01e-04 | 1.2 it/s
step  25600 | mse 0.2274 | lr 1.00e-04 | 1.2 it/s
step  25700 | mse 0.2118 | lr 9.97e-05 | 1.2 it/s
step  25800 | mse 0.2223 | lr 9.91e-05 | 1.2 it/s
step  25900 | mse 0.2457 | lr 9.85e-05 | 1.2 it/s
step  26000 | mse 0.2159 | lr 9.78e-05 | 1.2 it/s
  [eval] step 26000 | EMA avg NMSE -11.77 dB (step1 -17.41, step10 -8.78) | raw -11.80 dB
step  26100 | mse 0.2289 | lr 9.72e-05 | 1.2 it/s
step  26200 | mse 0.2213 | lr 9.66e-05 | 1.2 it/s
step  26300 | mse 0.1904 | lr 9.59e-05 | 1.2 it/s
step  26400 | mse 0.2282 | lr 9.53e-05 | 1.2 it/s
