===== SEQ2SEQ (regression/large) STARTED Sun Jul 26 13:50:11 CEST 2026 =====
objective=regression size=large params=1.362M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0326, 0.7064)
step      0 | loss 1.1590 | lr 2.00e-07 | 0.9 it/s
step  21000 | loss 0.2207 | lr 1.29e-04 | 1.2 it/s
step  21100 | loss 0.2383 | lr 1.29e-04 | 1.2 it/s
step  21200 | loss 0.2413 | lr 1.28e-04 | 1.2 it/s
step  21300 | loss 0.2471 | lr 1.27e-04 | 1.2 it/s
step  21400 | loss 0.2200 | lr 1.27e-04 | 1.2 it/s
step  21500 | loss 0.2406 | lr 1.26e-04 | 1.2 it/s
step  21600 | loss 0.2227 | lr 1.25e-04 | 1.2 it/s
step  21700 | loss 0.2315 | lr 1.25e-04 | 1.2 it/s
step  21800 | loss 0.2205 | lr 1.24e-04 | 1.2 it/s
step  21900 | loss 0.2085 | lr 1.24e-04 | 1.2 it/s
step  22000 | loss 0.2141 | lr 1.23e-04 | 1.2 it/s
  [eval] step 22000 | EMA avg NMSE -11.04 dB (step1 -16.82, step10 -8.07)
step  22100 | loss 0.2515 | lr 1.22e-04 | 1.2 it/s
step  22200 | loss 0.2375 | lr 1.22e-04 | 1.2 it/s
step  22300 | loss 0.1981 | lr 1.21e-04 | 1.2 it/s
step  22400 | loss 0.2100 | lr 1.21e-04 | 1.2 it/s
step  22500 | loss 0.2265 | lr 1.20e-04 | 1.2 it/s
step  22600 | loss 0.2295 | lr 1.19e-04 | 1.2 it/s
step  22700 | loss 0.2465 | lr 1.19e-04 | 1.2 it/s
step  22800 | loss 0.2034 | lr 1.18e-04 | 1.2 it/s
step  22900 | loss 0.2448 | lr 1.17e-04 | 1.2 it/s
step  23000 | loss 0.2290 | lr 1.17e-04 | 1.2 it/s
step  23100 | loss 0.2218 | lr 1.16e-04 | 1.2 it/s
step  23200 | loss 0.2273 | lr 1.16e-04 | 1.2 it/s
step  23300 | loss 0.2016 | lr 1.15e-04 | 1.2 it/s
step  23400 | loss 0.2176 | lr 1.14e-04 | 1.2 it/s
step  23500 | loss 0.2309 | lr 1.14e-04 | 1.2 it/s
step  23600 | loss 0.2035 | lr 1.13e-04 | 1.2 it/s
step  23700 | loss 0.2230 | lr 1.12e-04 | 1.2 it/s
step  23800 | loss 0.2129 | lr 1.12e-04 | 1.2 it/s
step  23900 | loss 0.2066 | lr 1.11e-04 | 1.2 it/s
step  24000 | loss 0.2488 | lr 1.11e-04 | 1.2 it/s
  [eval] step 24000 | EMA avg NMSE -11.22 dB (step1 -17.03, step10 -8.23)
step  24100 | loss 0.2069 | lr 1.10e-04 | 1.2 it/s
step  24200 | loss 0.2181 | lr 1.09e-04 | 1.2 it/s
step  24300 | loss 0.1964 | lr 1.09e-04 | 1.2 it/s
step  24400 | loss 0.2367 | lr 1.08e-04 | 1.2 it/s
step  24500 | loss 0.2202 | lr 1.07e-04 | 1.2 it/s
step  24600 | loss 0.2252 | lr 1.07e-04 | 1.2 it/s
step  24700 | loss 0.2217 | lr 1.06e-04 | 1.2 it/s
step  24800 | loss 0.2111 | lr 1.05e-04 | 1.2 it/s
step  24900 | loss 0.2312 | lr 1.05e-04 | 1.2 it/s
step  25000 | loss 0.2076 | lr 1.04e-04 | 1.2 it/s
step  25100 | loss 0.2308 | lr 1.04e-04 | 1.2 it/s
step  25200 | loss 0.2229 | lr 1.03e-04 | 1.2 it/s
step  25300 | loss 0.2086 | lr 1.02e-04 | 1.2 it/s
step  25400 | loss 0.2232 | lr 1.02e-04 | 1.2 it/s
step  25500 | loss 0.1919 | lr 1.01e-04 | 1.2 it/s
step  25600 | loss 0.2230 | lr 1.00e-04 | 1.2 it/s
step  25700 | loss 0.2064 | lr 9.97e-05 | 1.2 it/s
step  25800 | loss 0.2177 | lr 9.91e-05 | 1.2 it/s
step  25900 | loss 0.2436 | lr 9.85e-05 | 1.2 it/s
step  26000 | loss 0.2119 | lr 9.78e-05 | 1.2 it/s
  [eval] step 26000 | EMA avg NMSE -11.36 dB (step1 -17.17, step10 -8.34)
step  26100 | loss 0.2252 | lr 9.72e-05 | 1.2 it/s
step  26200 | loss 0.2161 | lr 9.66e-05 | 1.2 it/s
step  26300 | loss 0.1846 | lr 9.59e-05 | 1.2 it/s
step  26400 | loss 0.2239 | lr 9.53e-05 | 1.2 it/s
step  26500 | loss 0.2177 | lr 9.47e-05 | 1.2 it/s
step  26600 | loss 0.2028 | lr 9.40e-05 | 1.2 it/s
step  26700 | loss 0.1971 | lr 9.34e-05 | 1.2 it/s
step  26800 | loss 0.2117 | lr 9.28e-05 | 1.2 it/s
step  26900 | loss 0.2442 | lr 9.21e-05 | 1.2 it/s
step  27000 | loss 0.2033 | lr 9.15e-05 | 1.2 it/s
step  27100 | loss 0.2255 | lr 9.09e-05 | 1.2 it/s
step  27200 | loss 0.2035 | lr 9.02e-05 | 1.2 it/s
step  27300 | loss 0.2102 | lr 8.96e-05 | 1.2 it/s
step  27400 | loss 0.1985 | lr 8.90e-05 | 1.2 it/s
step  27500 | loss 0.2289 | lr 8.83e-05 | 1.2 it/s
step  27600 | loss 0.1816 | lr 8.77e-05 | 1.2 it/s
step  27700 | loss 0.2100 | lr 8.71e-05 | 1.2 it/s
step  27800 | loss 0.2126 | lr 8.65e-05 | 1.2 it/s
step  27900 | loss 0.2041 | lr 8.58e-05 | 1.2 it/s
step  28000 | loss 0.2286 | lr 8.52e-05 | 1.2 it/s
  [eval] step 28000 | EMA avg NMSE -11.44 dB (step1 -17.24, step10 -8.41)
step  28100 | loss 0.2276 | lr 8.46e-05 | 1.2 it/s
step  28200 | loss 0.2303 | lr 8.39e-05 | 1.2 it/s
step  28300 | loss 0.2255 | lr 8.33e-05 | 1.2 it/s
step  28400 | loss 0.2175 | lr 8.27e-05 | 1.2 it/s
step  28500 | loss 0.2057 | lr 8.21e-05 | 1.2 it/s
step  28600 | loss 0.2068 | lr 8.15e-05 | 1.2 it/s
step  28700 | loss 0.2245 | lr 8.08e-05 | 1.2 it/s
step  28800 | loss 0.2295 | lr 8.02e-05 | 1.2 it/s
step  28900 | loss 0.2249 | lr 7.96e-05 | 1.2 it/s
step  29000 | loss 0.1950 | lr 7.90e-05 | 1.2 it/s
step  29100 | loss 0.2263 | lr 7.84e-05 | 1.2 it/s
step  29200 | loss 0.2110 | lr 7.77e-05 | 1.2 it/s
step  29300 | loss 0.2254 | lr 7.71e-05 | 1.2 it/s
step  29400 | loss 0.2499 | lr 7.65e-05 | 1.2 it/s
step  29500 | loss 0.2310 | lr 7.59e-05 | 1.2 it/s
step  29600 | loss 0.2228 | lr 7.53e-05 | 1.2 it/s
step  29700 | loss 0.2203 | lr 7.47e-05 | 1.2 it/s
step  29800 | loss 0.2310 | lr 7.41e-05 | 1.2 it/s
step  29900 | loss 0.2180 | lr 7.34e-05 | 1.2 it/s
step  30000 | loss 0.2146 | lr 7.28e-05 | 1.2 it/s
  [eval] step 30000 | EMA avg NMSE -11.53 dB (step1 -17.30, step10 -8.48)
step  30100 | loss 0.2030 | lr 7.22e-05 | 1.2 it/s
step  30200 | loss 0.2205 | lr 7.16e-05 | 1.2 it/s
step  30300 | loss 0.1977 | lr 7.10e-05 | 1.2 it/s
step  30400 | loss 0.2228 | lr 7.04e-05 | 1.2 it/s
step  30500 | loss 0.2162 | lr 6.98e-05 | 1.2 it/s
step  30600 | loss 0.2164 | lr 6.92e-05 | 1.2 it/s
step  30700 | loss 0.2135 | lr 6.86e-05 | 1.2 it/s
step  30800 | loss 0.2145 | lr 6.80e-05 | 1.2 it/s
step  30900 | loss 0.2220 | lr 6.74e-05 | 1.2 it/s
step  31000 | loss 0.2338 | lr 6.68e-05 | 1.2 it/s
step  31100 | loss 0.2011 | lr 6.62e-05 | 1.2 it/s
step  31200 | loss 0.1919 | lr 6.56e-05 | 1.2 it/s
step  31300 | loss 0.1988 | lr 6.50e-05 | 1.2 it/s
step  31400 | loss 0.2239 | lr 6.44e-05 | 1.2 it/s
step  31500 | loss 0.2243 | lr 6.38e-05 | 1.2 it/s
step  31600 | loss 0.1994 | lr 6.33e-05 | 1.2 it/s
step  31700 | loss 0.2061 | lr 6.27e-05 | 1.2 it/s
step  31800 | loss 0.2043 | lr 6.21e-05 | 1.2 it/s
step  31900 | loss 0.1946 | lr 6.15e-05 | 1.2 it/s
step  32000 | loss 0.2226 | lr 6.09e-05 | 1.2 it/s
